oldcode,povrate60,year,sum2count,pop5_9,sum5964,sumpop,rate_5964
1067,50.54373,63,0,1487,0,8922,0
2001,28.93401,63,0,,2,0,0
2002,13.45054,59,1,499,1,2994,33.40014
2003,15.29646,61,0,9505,0,57030,0
2004,12.3916,61,0,909,1,5454,18.33517
2005,8.492275,62,0,,0,0,0
2006,25.46012,60,0,556,0,3336,0
2007,20.98931,63,0,4663,0,27978,0
2008,22.27682,59,0,,0,0,0
2009,21.14061,60,0,1092,0,6552,0
2010,8.232191,62,0,807,0,4842,0
2011,9.686411,60,0,1241,1,7446,13.43003
2012,30.23455,60,0,754,0,4524,0
2013,18.523,60,0,,0,0,0
2014,28.65109,61,0,714,1,4284,23.34267
2015,31.10769,62,0,864,1,5184,19.29012
2016,82.45859,64,0,304,1,1824,54.82456
2017,75.40984,64,0,565,0,3390,0
2018,50.36776,62,0,205,1,1230,81.30081
2019,8.473246,63,0,649,0,3894,0
2020,65.32374,59,0,,0,0,0
2021,49.56868,63,0,,0,0,0
2022,75.49081,64,0,300,1,1800,55.55556
2023,59.35649,59,0,467,0,2802,0
2024,93.07167,64,0,516,0,3096,0
2025,,62,0,463,0,2778,0
3001,66.0539,62,1,4640,5,27840,17.95977
3002,24.87068,62,0,6221,3,37326,8.037293
3003,34.77553,63,1,5646,3,33876,8.855827
3004,29.21829,61,0,3124,2,18744,10.67008
3005,35.83064,61,0,1747,1,10482,9.540164
3006,22.92434,63,0,1546,1,9276,10.78051
3007,20.9282,62,7,76042,34,456252,7.452022
3008,24.66245,59,1,843,1,5058,19.77066
3009,52.00044,62,1,5413,6,32478,18.47404
3010,20.23236,60,0,29505,15,177030,8.47314
3011,38.99426,61,1,8197,3,49182,6.099792
3012,35.74834,59,0,1295,0,7770,0
3013,23.26754,64,2,2723,2,16338,12.2414
3014,24.90828,63,0,5327,2,31962,6.257431
4001,45.90302,60,0,2693,2,16158,12.37777
4002,47.21237,59,0,2822,2,16932,11.81195
4003,45.16038,61,0,863,1,5178,19.31248
4004,39.40473,59,0,3214,1,19284,5.185646
4005,44.08264,59,1,1413,1,8478,11.79523
4006,50.99333,59,0,1537,0,9222,0
4007,58.79927,59,0,626,0,3756,0
4008,45.89847,63,0,898,0,5388,0
4009,67.34337,63,1,2321,2,13926,14.36163
4010,47.13569,62,0,1927,1,11562,8.649023
4011,49.47639,59,0,2099,1,12594,7.940289
4012,57.21098,61,0,813,0,4878,0
4013,58.14674,64,0,708,0,4248,0
4014,46.16254,62,0,2759,1,16554,6.040836
4015,52.21636,62,0,1591,0,9546,0
4016,41.63079,60,0,4675,3,28050,10.69519
4017,46.09004,61,0,2059,0,12354,0
4018,63.3959,60,1,6605,5,39630,12.6167
4019,60.74405,64,1,2318,2,13908,14.38021
4020,57.58924,59,0,1157,2,6942,28.81014
4021,59.62214,61,0,2641,1,15846,6.310741
4022,55.92202,59,0,1575,0,9450,0
4023,45.3821,60,0,2248,0,13488,0
4024,50.21872,61,0,955,3,5730,52.35602
4025,63.32052,59,0,552,0,3312,0
4026,39.00112,61,2,4143,2,24858,8.045699
4027,46.53896,61,0,826,0,4956,0
4028,49.75391,59,0,2526,0,15156,0
4029,52.37788,64,0,1914,0,11484,0
4030,37.14945,61,0,2431,0,14586,0
4031,46.5284,64,0,1062,0,6372,0
4032,55.91365,63,0,1833,0,10998,0
4033,60.48956,61,0,591,0,3546,0
4034,46.60654,64,0,2503,1,15018,6.658676
4035,47.88948,60,2,9541,3,57246,5.240541
4036,53.43197,61,1,1071,1,6426,15.56178
4037,59.29807,61,0,1187,1,7122,14.041
4038,60.56177,61,0,1727,0,10362,0
4039,71.60867,59,0,2774,1,16644,6.008171
4040,62.44121,63,0,1596,1,9576,10.44277
4041,55.24483,63,0,1012,1,6072,16.46904
4042,55.05943,62,0,1297,0,7782,0
4043,55.25238,62,1,2733,4,16398,24.39322
4044,61.22181,61,0,837,0,5022,0
4045,55.29992,63,0,502,0,3012,0
4046,46.45344,63,0,3345,1,20070,4.982561
4047,59.18905,59,1,8751,3,52506,5.713633
4048,67.09931,63,0,2209,1,13254,7.544892
4049,51.05588,61,0,507,0,3042,0
4050,57.83323,61,0,996,0,5976,0
4051,73.03766,60,0,602,0,3612,0
4052,44.67363,63,0,3680,1,22080,4.528986
4053,62.10075,59,0,511,1,3066,32.61579
4054,62.65526,64,1,5711,2,34266,5.836689
4055,53.85487,59,0,707,0,4242,0
4056,58.40194,60,1,3670,3,22020,13.62398
4057,47.7607,60,0,1073,0,6438,0
4058,46.94405,63,1,1899,2,11394,17.5531
4059,50.70755,61,0,1106,0,6636,0
4060,28.47532,60,2,24841,9,149046,6.038404
4061,53.55946,62,0,1312,0,7872,0
4062,69.18958,63,0,4458,1,26748,3.738597
4063,29.12153,61,1,2704,2,16224,12.32742
4064,60.25554,62,0,631,0,3786,0
4065,64.45129,61,0,805,0,4830,0
4066,31.14722,62,1,6710,1,40260,2.483855
4067,43.14009,64,0,908,0,5448,0
4068,62.54052,59,0,522,1,3132,31.92848
4069,67.59603,59,0,671,0,4026,0
4070,36.6033,63,0,5321,1,31926,3.132243
4071,62.79004,61,0,628,0,3768,0
4072,34.66954,59,0,4901,2,29406,6.801333
4073,46.873,63,0,2983,0,17898,0
4074,66.27509,62,0,1703,0,10218,0
4075,53.01746,62,0,1073,0,6438,0
5001,14.4108,59,6,87497,29,524982,5.523999
5002,32.71276,62,0,50,0,300,0
5003,16.58463,62,0,815,0,4890,0
5004,19.16839,64,0,7846,1,47076,2.124225
5005,15.03208,62,0,893,0,5358,0
5006,22.04592,60,0,1236,0,7416,0
5007,10.61357,61,3,49707,14,298242,4.694175
5008,14.36999,62,0,2093,0,12558,0
5009,11.41381,60,0,2987,1,17922,5.579734
5010,23.91341,64,4,41917,10,251502,3.976111
5011,18.73716,63,0,1842,1,11052,9.048136
5012,12.83881,60,1,12133,3,72798,4.120992
5013,26.17759,62,2,8414,7,50484,13.86578
5014,18.1551,61,0,1186,0,7116,0
5015,21.3029,63,1,34375,6,206250,2.909091
5016,30.86366,62,1,5935,3,35610,8.4246
5017,22.32625,60,0,1068,2,6408,31.21099
5018,13.99051,62,0,1477,1,8862,11.28413
5019,13.01469,61,29,587823,173,3526938,4.905105
5020,29.6714,59,0,4567,2,27402,7.298738
5021,8.651519,60,2,15398,6,92388,6.49435
5022,24.85561,59,0,406,0,2436,0
5023,17.90432,63,2,5525,2,33150,6.033183
5024,26.58184,60,2,10562,5,63372,7.88992
5025,14.06439,63,0,963,0,5778,0
5026,8.844766,63,0,212,0,1272,0
5027,19.65803,64,1,19554,2,117324,1.704681
5028,12.72245,63,0,5811,2,34866,5.736248
5029,17.73043,63,0,1803,2,10818,18.48771
5030,10.40373,64,6,85799,28,514794,5.439069
5031,14.81005,61,0,5591,3,33546,8.942944
5032,17.15406,60,0,1177,1,7062,14.16029
5033,18.88567,64,2,31372,10,188232,5.312593
5034,11.00673,62,1,56500,14,339000,4.129794
5035,22.61546,63,0,1678,0,10068,0
5036,16.86885,61,3,55176,17,331056,5.135083
5037,14.76971,61,2,102845,42,617070,6.806359
5038,15.50001,60,4,50374,13,302244,4.301161
5039,19.48736,64,1,25782,5,154692,3.232229
5040,19.17532,62,2,7508,2,45048,4.439709
5041,7.020627,61,1,48950,13,293700,4.426285
5042,13.20701,61,0,16817,6,100902,5.946364
5043,10.58081,63,1,73638,22,441828,4.979313
5044,20.79815,61,0,7364,2,44184,4.526525
5045,15.45531,61,0,6610,2,39660,5.042864
5046,14.48335,59,0,217,0,1302,0
5047,14.79019,61,0,3422,2,20532,9.740892
5048,16.38098,62,0,14082,2,84492,2.367088
5049,18.57595,59,2,14692,3,88152,3.403213
5050,22.35674,63,1,16692,14,100152,13.97875
5051,18.29186,63,0,3767,0,22602,0
5052,17.45938,60,0,2742,1,16452,6.078289
5053,11.12396,61,0,1016,0,6096,0
5054,28.36994,62,1,18636,6,111816,5.365958
5055,16.14149,60,1,1268,2,7608,26.28812
5056,15.37834,63,1,21517,7,129102,5.42207
5057,14.91845,62,0,7113,1,42678,2.343127
5058,21.40629,64,0,3712,1,22272,4.489943
6001,11.76715,62,1,17329,3,103974,2.885337
6002,29.90961,62,0,1089,1,6534,15.30456
6003,9.566225,64,0,14636,6,87816,6.832468
6004,47.85611,59,0,308,0,1848,0
6005,30.696,60,0,739,0,4434,0
6006,28.97677,60,0,790,0,4740,0
6007,15.12855,59,0,7068,0,42408,0
6008,23.40875,60,0,819,0,4914,0
6009,20.29808,60,0,340,0,2040,0
6010,10.54482,63,0,257,0,1542,0
6011,52.98683,59,1,1238,1,7428,13.46257
6012,61.86673,61,0,566,0,3396,0
6013,37.81493,63,0,461,0,2766,0
6014,34.60639,62,0,135,0,810,0
6015,33.08337,61,0,1493,0,8958,0
6016,16.36505,62,3,47876,13,287256,4.52558
6017,19.1184,64,0,303,0,1818,0
6018,16.1595,61,0,546,0,3276,0
6019,31.9114,59,0,585,0,3510,0
6020,29.73326,62,0,398,0,2388,0
6021,16.72442,60,2,15497,6,92982,6.452862
6022,24.90177,59,0,1774,0,10644,0
6023,15.41251,63,0,1203,0,7218,0
6024,12.7566,59,0,55,0,330,0
6025,20.38328,62,0,413,1,2478,40.35513
6026,24.453,64,0,522,0,3132,0
6027,6.944445,64,0,20,0,120,0
6028,43.13356,60,0,888,0,5328,0
6029,12.13434,64,0,175,0,1050,0
6030,8.574496,62,2,15026,9,90156,9.982697
6031,17.82297,61,0,284,0,1704,0
6032,21.30961,62,0,780,0,4680,0
6033,16.31571,61,0,852,2,5112,39.12363
6034,24.92181,59,0,2378,0,14268,0
6035,21.03693,63,0,4782,2,28692,6.970584
6036,40.72792,59,0,2192,2,13152,15.20681
6037,18.22358,61,0,565,0,3390,0
6038,16.51254,62,0,2503,1,15018,6.658676
6039,19.56777,61,1,5614,2,33684,5.937537
6040,16.74757,59,0,28,0,168,0
6041,14.8668,63,1,804,2,4824,41.45937
6042,27.12221,63,0,1782,2,10692,18.70557
6043,26.24133,59,0,2125,0,12750,0
6044,22.62252,59,0,2607,0,15642,0
6045,29.90612,63,2,2801,2,16806,11.90051
6046,25.33724,63,0,160,0,960,0
6047,16.01996,60,0,184,0,1104,0
6048,17.18686,63,0,446,0,2676,0
6049,18.23181,63,0,252,0,1512,0
6050,29.38374,63,0,1527,0,9162,0
6051,21.16995,64,2,13905,5,83430,5.993048
6052,12.29587,59,0,613,0,3678,0
6053,38.72703,63,0,1393,0,8358,0
6054,22.78524,61,0,607,1,3642,27.45744
6055,47.97111,64,0,574,0,3444,0
6056,29.46745,59,0,96,0,576,0
6057,19.39513,62,0,318,0,1908,0
6058,18.86033,62,0,476,0,2856,0
6059,10.2765,61,0,236,0,1416,0
6060,21.12618,61,0,209,0,1254,0
6061,19.93112,60,0,779,0,4674,0
6062,24.84614,63,0,7879,2,47274,4.230655
6063,25.74084,61,0,904,0,5424,0
7001,9.171024,60,2,63974,13,383844,3.386793
7002,8.668344,59,4,68193,14,409158,3.421661
7003,10.0368,59,0,11982,3,71892,4.172926
7004,9.02756,60,0,8445,1,50670,1.973554
7005,9.909536,60,2,63033,17,378198,4.495
7006,12.02843,64,0,18458,4,110748,3.611803
7007,8.949094,61,1,6980,1,41880,2.387775
7008,13.25563,64,1,6710,3,40260,7.451565
8001,24.27994,60,1,6847,2,41082,4.868312
8002,12.86522,59,1,33377,9,200262,4.494112
8003,27.63995,60,0,7659,2,45954,4.352178
9001,22.17648,63,4,63350,30,380100,7.89266
10001,34.33724,61,0,7276,2,43656,4.581272
10002,51.2548,61,0,881,0,5286,0
10003,30.74916,62,0,7758,4,46548,8.59328
10004,42.00928,63,0,1448,0,8688,0
10005,17.64566,59,0,12885,2,77310,2.586987
10006,24.05504,59,0,32273,4,193638,2.06571
10007,57.23735,60,0,833,1,4998,20.008
10008,25.59416,63,0,926,0,5556,0
10009,44.91228,61,0,910,0,5460,0
10010,35.83908,61,0,2297,0,13782,0
10011,30.94886,61,0,1556,2,9336,21.42245
10012,46.03411,64,0,2326,3,13956,21.49613
10013,22.27667,63,6,86445,27,518670,5.205622
10014,43.44384,62,0,968,0,5808,0
10015,48.14815,59,0,506,0,3036,0
10016,26.2502,60,5,51085,19,306510,6.198819
10017,27.53234,60,0,20455,7,122730,5.703577
10018,46.23878,63,0,525,0,3150,0
10019,58.8943,59,0,681,0,4086,0
10020,60.15988,62,0,4810,3,28860,10.39501
10021,54.48276,61,0,292,0,1752,0
10022,38.72893,61,0,311,0,1866,0
10023,34.70371,63,0,1242,0,7452,0
10024,59.03072,62,0,905,0,5430,0
10025,43.96071,62,0,1257,1,7542,13.25908
10026,35.62414,59,0,884,0,5304,0
10027,43.96844,61,0,1163,0,6978,0
10028,35.32071,60,0,2126,1,12756,7.839448
10029,27.95543,60,2,40286,9,241716,3.723378
10030,62.14177,61,0,1039,0,6234,0
10031,30.57062,59,0,2615,1,15690,6.373487
10032,52.51459,61,0,3929,1,23574,4.241961
10033,59.98593,64,0,1246,0,7476,0
10034,39.09521,63,0,324,0,1944,0
10035,38.40597,60,2,5369,4,32214,12.41696
10036,30.45621,63,0,5205,3,31230,9.606148
10037,31.72982,62,0,7696,4,46176,8.662509
10038,52.0874,60,0,1125,0,6750,0
10039,48.86935,61,0,378,1,2268,44.09171
10040,58.90479,60,1,1774,1,10644,9.394964
10041,32.10122,63,1,5764,4,34584,11.56604
10042,44.03659,64,1,5609,3,33654,8.914245
10043,28.2779,59,0,1598,1,9588,10.4297
10044,24.95976,63,0,4373,2,26238,7.622532
10045,37.41864,62,0,2132,1,12792,7.817386
10046,22.28835,62,0,7370,0,44220,0
10047,31.40006,59,0,701,0,4206,0
10048,23.01893,59,1,27760,9,166560,5.403458
10049,39.61162,64,0,1633,0,9798,0
10050,27.65751,59,1,21310,15,127860,11.73158
10051,39.68065,60,0,3031,0,18186,0
10052,24.54194,61,0,26713,12,160278,7.486991
10053,31.15786,60,2,20873,13,125238,10.38024
10054,41.74154,59,0,3805,2,22830,8.760403
10055,37.13752,60,0,3083,2,18498,10.81198
10056,32.32462,63,0,4220,2,25320,7.898894
10057,30.51543,62,0,3104,1,18624,5.369416
10058,23.5596,59,1,6204,3,37224,8.059317
10059,33.42122,64,0,6401,2,38406,5.20752
10060,52.28672,64,0,1273,1,7638,13.09243
10061,51.76114,63,2,1655,2,9930,20.14099
10062,43.6123,60,0,1588,0,9528,0
10063,42.27534,63,0,518,0,3108,0
10064,29.91577,62,1,10250,9,61500,14.63415
10065,60.23081,59,0,607,0,3642,0
10066,51.25796,64,0,1737,2,10422,19.19017
10067,58.23049,63,0,1208,0,7248,0
11001,61.66511,60,1,1710,1,10260,9.746589
11002,68.26228,62,0,815,1,4890,20.4499
11003,58.15068,62,0,1051,1,6306,15.85791
11004,74.05536,61,1,649,1,3894,25.68053
11005,40.46675,62,0,2288,3,13728,21.85315
11006,43.5506,63,0,662,0,3972,0
11007,40.52525,61,0,1438,0,8628,0
11008,40.35842,60,0,2992,0,17952,0
11009,50.52298,63,0,1486,2,8916,22.43158
11010,55.39621,61,0,1329,1,7974,12.54076
11011,31.8585,61,0,15679,4,94074,4.251972
11012,48.47461,63,1,1008,1,6048,16.53439
11013,51.87983,59,0,748,0,4488,0
11014,64.91758,64,0,1812,4,10872,36.79176
11015,59.32549,64,0,862,0,5172,0
11016,53.25795,63,0,2823,0,16938,0
11017,70.03029,63,0,2802,2,16812,11.89627
11018,58.1553,64,0,1065,1,6390,15.64945
11019,73.48635,63,0,1007,0,6042,0
11020,34.3996,62,0,1246,0,7476,0
11021,61.44472,61,0,759,0,4554,0
11022,38.8708,64,0,3764,4,22584,17.71165
11023,25.59837,61,0,2501,0,15006,0
11024,47.57814,60,0,725,1,4350,22.98851
11025,31.08258,63,0,21004,7,126024,5.554498
11026,22.37376,64,0,882,0,5292,0
11027,36.79816,61,0,1989,2,11934,16.75884
11028,39.9903,59,0,2249,0,13494,0
11029,35.01804,60,0,4084,1,24504,4.080966
11030,64.9025,60,0,562,1,3372,29.65599
11031,18.5548,64,1,6113,2,36678,5.45286
11032,63.71553,63,1,799,2,4794,41.71881
11033,16.95365,61,0,13641,3,81846,3.665421
11034,55.13801,59,1,2650,2,15900,12.57862
11035,47.43382,59,0,4019,3,24114,12.44091
11036,46.55434,63,0,1727,5,10362,48.25323
11037,54.27484,60,0,1393,2,8358,23.92917
11038,44.84414,59,0,3228,1,19368,5.163156
11039,64.60905,64,0,745,1,4470,22.37136
11040,55.86949,60,0,2186,0,13116,0
11041,45.31809,64,0,1085,0,6510,0
11042,62.1311,59,0,414,0,2484,0
11043,53.10465,63,0,3073,3,18438,16.27074
11044,14.10751,62,2,29476,7,176856,3.958022
11045,50.90573,62,0,1812,0,10872,0
11046,65.4229,63,0,1435,0,8610,0
11047,36.34142,60,0,9351,4,56106,7.129362
11048,37.2528,62,0,1979,0,11874,0
11049,71.5274,61,0,1641,1,9846,10.15641
11050,60.37167,59,0,219,0,1314,0
11051,43.85122,59,0,1273,0,7638,0
11052,46.7635,60,0,1978,1,11868,8.42602
11053,54.64649,62,0,1933,2,11598,17.24435
11054,56.28926,60,0,823,1,4938,20.25111
11055,47.66743,61,0,1593,0,9558,0
11056,43.84662,59,0,974,0,5844,0
11057,29.44163,63,1,7113,5,42678,11.71564
11058,41.6585,60,0,1362,0,8172,0
11059,48.02406,64,0,1337,0,8022,0
11060,29.11679,64,3,55858,21,335148,6.265889
11061,58.40959,64,0,917,1,5502,18.17521
11062,61.57254,62,0,268,0,1608,0
11063,31.53548,60,0,4700,1,28200,3.546099
11064,42.83241,64,0,1917,0,11502,0
11065,57.50694,63,0,2073,4,12438,32.15951
11066,58.15844,64,0,1321,2,7926,25.23341
11067,31.71692,64,0,4899,0,29394,0
11068,40.6317,61,0,1732,0,10392,0
11069,37.60048,63,0,5361,1,32166,3.108873
11070,72.45093,63,0,1374,0,8244,0
11071,39.62173,61,0,1432,0,8592,0
11072,54.99448,64,1,1408,1,8448,11.83712
11073,47.48252,61,0,1658,0,9948,0
11074,54.85247,63,0,567,0,3402,0
11075,46.21779,59,0,2222,0,13332,0
11076,26.81287,62,1,4989,3,29934,10.02205
11077,66.86858,60,0,1101,1,6606,15.13775
11078,41.32634,59,0,1893,1,11358,8.804367
11079,66.41353,60,0,717,1,4302,23.245
11080,52.78414,61,0,1075,1,6450,15.50388
11081,66.04118,62,1,2203,3,13218,22.69632
11082,58.32802,64,0,1120,1,6720,14.88095
11083,49.60602,60,0,886,1,5316,18.81114
11084,50.09805,60,0,1067,0,6402,0
11085,42.96898,60,1,1183,1,7098,14.08848
11086,60.91278,63,0,581,0,3486,0
11087,52.10479,60,1,3649,1,21894,4.567461
11088,60.76637,61,0,883,0,5298,0
11089,51.1956,64,2,1719,3,10314,29.08668
11090,66.88519,62,0,800,0,4800,0
11091,62.35183,62,0,533,0,3198,0
11092,40.91101,59,1,5615,2,33690,5.93648
11093,50.50414,64,0,736,0,4416,0
11094,52.50098,63,0,1500,0,9000,0
11095,66.33758,63,0,830,0,4980,0
11096,64.37058,60,0,1690,0,10140,0
11097,54.89691,61,1,1142,1,6852,14.59428
11098,69.71467,64,0,685,0,4110,0
11099,56.30407,61,0,2346,2,14076,14.20858
11100,62.96948,64,0,828,0,4968,0
11101,55.26159,64,0,2472,0,14832,0
11102,50.58392,64,2,1254,4,7524,53.16321
11103,63.67847,61,1,673,2,4038,49.52947
11104,54.1145,61,0,1216,1,7296,13.70614
11105,44.9267,63,0,1095,0,6570,0
11106,30.34513,61,0,17877,3,107262,2.79689
11107,40.1711,63,0,2367,5,14202,35.20631
11108,45.44531,63,0,621,0,3726,0
11109,58.75778,59,0,876,0,5256,0
11110,35.86393,60,0,1420,0,8520,0
11111,47.6771,60,0,1629,0,9774,0
11112,48.79588,60,0,907,0,5442,0
11113,54.55408,60,0,1154,0,6924,0
11114,54.49401,62,0,795,1,4770,20.96436
11115,39.99345,63,1,2784,1,16704,5.98659
11116,43.84823,59,0,908,3,5448,55.06608
11117,57.1544,59,0,981,1,5886,16.98947
11118,73.07548,63,0,294,0,1764,0
11119,49.55429,61,0,779,0,4674,0
11120,65.73708,60,0,1316,0,7896,0
11121,37.12339,62,0,14588,0,87528,0
11122,40.14885,62,0,1224,6,7344,81.69935
11123,71.00592,61,0,368,0,2208,0
11124,61.17557,64,1,1940,1,11640,8.591065
11125,62.7274,59,1,798,3,4788,62.65664
11126,34.07647,61,0,3781,3,22686,13.22402
11127,39.88405,64,0,2021,0,12126,0
11128,68.898,63,0,899,1,5394,18.53912
11129,55.16456,59,1,2921,5,17526,28.52904
11130,67.09367,64,0,961,3,5766,52.02914
11131,67.03959,63,0,392,1,2352,42.51701
11132,56.21688,61,0,1466,0,8796,0
11133,64.34201,62,0,953,3,5718,52.4659
11134,61.86502,64,0,1300,0,7800,0
11135,66.79115,61,0,1574,2,9444,21.17747
11136,47.24321,62,1,3890,1,23340,4.28449
11137,52.83723,64,0,2852,2,17112,11.6877
11138,51.81549,59,0,1872,2,11232,17.80627
11139,55.80585,61,1,403,1,2418,41.35649
11140,63.66039,59,0,702,0,4212,0
11141,40.5028,63,0,5330,0,31980,0
11142,60.27165,64,0,1013,1,6078,16.45278
11143,54.52171,64,0,1103,0,6618,0
11144,63.57719,59,0,721,0,4326,0
11145,33.21918,62,0,2579,0,15474,0
11146,30.48208,59,1,4925,1,29550,3.384095
11147,44.09373,62,0,2234,0,13404,0
11148,37.17169,61,0,3929,2,23574,8.483923
11149,68.57795,61,1,966,1,5796,17.25328
11150,61.69934,62,1,2308,1,13848,7.22126
11151,48.75289,63,0,2203,1,13218,7.565441
11152,75.14952,59,1,438,2,2628,76.1035
11153,64.34622,59,0,676,0,4056,0
11154,44.61284,62,0,745,0,4470,0
11155,31.70761,60,0,4565,1,27390,3.650968
11156,63.24443,59,2,962,4,5772,69.30007
11157,52.41721,64,0,1146,2,6876,29.08668
11158,51.39127,62,0,1055,0,6330,0
11159,65.79285,60,0,2136,0,12816,0
11160,,61,0,,0,0,0
12001,29.16694,60,0,7410,3,44460,6.747638
12002,14.30406,61,3,57156,19,342936,5.540392
12003,38.97436,63,0,0,0,0,0
12004,24.04747,64,1,3223,2,19338,10.34233
12005,25.41101,63,1,4989,2,29934,6.681365
13001,15.20851,61,0,10631,3,63786,4.703227
13002,16.38248,61,0,314,0,1884,0
13003,13.21138,59,1,6110,1,36660,2.727769
13004,20.84024,61,0,928,0,5568,0
13005,22.16521,59,0,636,0,3816,0
13006,21.0737,59,0,3801,1,22806,4.384811
13007,19.21281,61,0,500,0,3000,0
13008,21.94293,63,0,190,0,1140,0
13009,23.1393,61,0,1768,0,10608,0
13010,11.94722,61,0,6595,2,39570,5.054334
13011,25.17086,60,0,676,0,4056,0
13012,14.38255,59,0,461,0,2766,0
13013,19.3617,59,0,103,0,618,0
13014,24.31443,63,0,6089,0,36534,0
13015,18.04609,60,0,798,0,4788,0
13016,19.43667,64,0,2068,1,12408,8.059317
13017,34.03362,61,0,114,0,684,0
13018,18.29483,63,0,881,0,5286,0
13019,27.51213,62,0,376,1,2256,44.32624
13020,22.93687,61,0,1846,1,11076,9.02853
13021,22.94186,60,0,1117,0,6702,0
13022,21.01017,64,0,1106,0,6636,0
13023,20.75754,62,0,964,0,5784,0
13024,26.30691,60,0,1075,0,6450,0
13025,21.57242,61,0,1595,2,9570,20.89864
13026,19.76944,59,0,1652,0,9912,0
13027,24.07965,60,0,1439,0,8634,0
13028,17.95177,60,0,3156,0,18936,0
13029,14.9203,63,0,1816,0,10896,0
13030,31.66526,59,0,625,0,3750,0
13031,13.21596,60,0,479,0,2874,0
13032,15.47486,61,0,455,0,2730,0
13033,21.49761,62,0,1219,0,7314,0
13034,18.96845,62,0,1962,1,11772,8.494733
13035,16.98259,62,0,3070,0,18420,0
13036,22.43018,61,0,439,0,2634,0
13037,23.56538,63,0,760,0,4560,0
13038,25.68424,59,0,1324,0,7944,0
13039,17.57293,62,0,546,1,3276,30.52503
13040,11.6538,61,0,2472,0,14832,0
13041,27.46301,62,0,348,0,2088,0
13042,18.92511,60,0,4872,2,29232,6.841817
13043,13.65294,63,0,426,0,2556,0
13044,29.97932,60,0,854,0,5124,0
14001,21.76253,59,0,6443,1,38658,2.586787
14002,48.63327,63,0,1527,0,9162,0
14003,30.46834,62,0,1342,2,8052,24.83855
14004,14.38635,59,0,2187,1,13122,7.62079
14005,41.90756,59,0,584,0,3504,0
14006,21.03888,64,0,3673,2,22038,9.075233
14007,27.76604,62,0,524,0,3144,0
