oldcode,_type_,_freq_,pctsch14_1960,pctsch5_34_1960,pct_hsormore_25plus_1960,pop14_17_1960,pop5_34_1960,pop25plus_1960,povrate60
1050,0,1,85.8,.5846648,21.8,1972,11203,10613,62.36896
1051,0,1,88,.5125842,44.7,10817,83875,86486,36.75657
1052,0,1,82.8,.4776563,32.8,4076,29270,32151,36.46137
1053,0,1,85.4,.5971812,22.2,1558,8798,7902,75.13681
1054,0,1,87.1,.5614943,21.6,1839,10627,10721,58.91557
1055,0,1,85.9,.6146927,24.8,2134,12564,13048,61.9207
1056,0,1,79.8,.5298321,20,1492,8816,10738,50.72083
1057,0,1,82.5,.5253862,17.2,3719,23950,21947,49.99789
1058,0,1,85.4,.5544004,18,2084,12408,13080,44.42008
1059,0,1,82.7,.5486501,23.2,2509,16187,15959,45.08377
1060,0,1,93.9,.6540004,20.2,1702,9974,8998,73.84322
1061,0,1,88.2,.5513483,27.7,5445,33302,31941,45.34272
1062,0,1,82.4,.5234769,24.7,2573,16463,18755,40.67229
1063,0,1,82.9,.548741,34,7037,55682,55466,40.56952
1064,0,1,67,.5510456,20.5,4434,25918,28718,44.65673
1065,0,1,86.1,.5671735,19.9,1428,7957,6871,54.22368
1066,0,1,85.5,.6295017,20.3,1933,9552,8086,78.65428
1067,0,1,77.5,.5073795,18.6,1304,7182,7965,50.54373
2001,,,,,,,,,28.93401
2002,,,,,,,,,13.45054
2003,,,,,,,,,15.29646
2004,,,,,,,,,12.3916
2005,,,,,,,,,8.492275
2006,,,,,,,,,25.46012
2007,,,,,,,,,20.98931
2008,,,,,,,,,22.27682
2009,,,,,,,,,21.14061
2010,,,,,,,,,8.232191
2011,,,,,,,,,9.686411
2012,,,,,,,,,30.23455
2013,,,,,,,,,18.523
2014,,,,,,,,,28.65109
2015,,,,,,,,,31.10769
2016,,,,,,,,,82.45859
2017,,,,,,,,,75.40984
2018,,,,,,,,,50.36776
2019,,,,,,,,,8.473246
2020,,,,,,,,,65.32374
2021,,,,,,,,,49.56868
2022,,,,,,,,,75.49081
2023,,,,,,,,,59.35649
2024,,,,,,,,,93.07167
2025,,,,,,,,,
3001,0,1,79.5,.5165694,20.8,2587,17140,11324,66.0539
3002,0,1,88.7,.4897726,44.5,3514,27964,27132,24.87068
3003,0,1,86.2,.5524808,42.9,2728,22513,18575,34.77553
3004,0,1,91.1,.6217825,34.1,1867,12432,13032,29.21829
3005,0,1,85,.5858407,40.3,1375,7345,6487,35.83064
3006,0,1,94.8,.6361051,34.3,1013,5977,5537,22.92434
3007,0,1,85.1,.5319405,47.7,42917,322803,346702,20.9282
3008,0,1,89.1,.5826889,42.1,515,3362,4292,24.66245
3009,0,1,73.9,.5083829,32.9,2934,20339,15540,52.00044
3010,0,1,90.2,.5598722,51.7,16492,128908,138712,20.23236
3011,0,1,80.5,.5249727,29.4,4618,32996,29002,38.99426
3012,0,1,93.4,.5417464,39.7,758,5222,5490,35.74834
3013,0,1,93.7,.5888308,42.8,2052,11854,17173,23.26754
3014,0,1,88.1,.4770324,39.7,3080,23642,23578,24.90828
4001,0,1,85.5,.537391,28.4,1692,10778,12447,45.90302
4002,0,1,90.2,.5743353,25.4,1953,11697,12225,47.21237
4003,0,1,88.5,.6224683,30,709,3703,6311,45.16038
4004,0,1,93.3,.5898338,33.4,2407,14499,22058,39.40473
4005,0,1,86.2,.5140471,31.6,1068,6585,9762,44.08264
4006,0,1,89.4,.5722088,23.1,1063,6225,7673,50.99333
4007,0,1,92.9,.6320093,20.9,486,2568,3330,58.79927
4008,0,1,79.6,.4693216,29.1,753,4319,7160,45.89847
4009,0,1,84.5,.5793735,20.4,1501,8523,9765,67.34337
4010,0,1,94.2,.6642007,30.1,1568,10003,10916,47.13569
4011,0,1,80.1,.5539236,16.9,1860,9532,11860,49.47639
4012,0,1,85.8,.5495049,21.5,721,3838,5359,57.21098
4013,0,1,90.8,.5987553,17,574,3053,3820,58.14674
4014,0,1,90.8,.5758629,30.5,1931,12371,14154,46.16254
4015,0,1,94.5,.6246364,24.5,1292,6876,8443,52.21636
4016,0,1,85.4,.549149,27.3,3769,23327,24435,41.63079
4017,0,1,86.5,.5955843,23.3,1625,9285,11976,46.09004
4018,0,1,82.9,.5512879,20.8,3812,24031,21400,63.3959
4019,0,1,88.6,.6078972,19.5,1800,9421,9486,60.74405
4020,0,1,87.9,.6093716,23.8,821,4567,5852,57.58924
4021,0,1,86.1,.5806779,21.3,1712,9854,10142,59.62214
4022,0,1,88.9,.6315935,22.2,1240,7242,7707,55.92202
4023,0,1,85.6,.6030138,32.1,1719,11547,12902,45.3821
4024,0,1,87.8,.5458052,24,778,4148,6058,50.21872
4025,0,1,92.1,.6125281,16.6,514,2666,4069,63.32052
4026,0,1,90.2,.5610524,33.1,2860,18091,29165,39.00112
4027,0,1,95,.5761589,23.8,670,3624,4732,46.53896
4028,0,1,79.4,.5239805,20.4,2115,11697,13804,49.75391
4029,0,1,90.7,.5917886,26.3,1537,8062,11387,52.37788
4030,0,1,92.3,.5650423,28.1,1682,10178,12010,37.14945
4031,0,1,91.9,.5769057,27.3,786,4434,6508,46.5284
4032,0,1,87.2,.5520152,24.7,1401,8411,11937,55.91365
4033,0,1,93.2,.5635298,16.6,507,2731,4173,60.48956
4034,0,1,78.7,.5661356,20.1,1999,10985,11910,46.60654
4035,0,1,90,.5704094,30.9,5967,39249,40928,47.88948
4036,0,1,86.1,.5849432,25,881,5021,7407,53.43197
4037,0,1,87.6,.5883905,22.4,899,4927,5852,59.29807
4038,0,1,81,.5324758,19.4,1438,7852,9343,60.56177
4039,0,1,81.5,.5921376,14.2,1813,10175,9705,71.60867
4040,0,1,82,.4940256,17.4,1081,7030,7466,62.44121
4041,0,1,89.9,.5821491,22.5,773,4011,5066,55.24483
4042,0,1,84.6,.590228,22.5,1156,6140,9886,55.05943
4043,0,1,89.6,.5892414,22.9,1962,11284,12693,55.25238
4044,0,1,88.9,.6303157,14.2,766,3833,5260,61.22181
4045,0,1,87,.595092,28.8,468,2282,3773,55.29992
4046,0,1,87.2,.5586498,28.3,2351,14220,17449,46.45344
4047,0,1,77.4,.5031236,22.6,5496,35856,32792,59.18905
4048,0,1,81.2,.5684325,19,1461,8249,8391,67.09931
4049,0,1,91,.5720721,21.3,399,2220,3196,51.05588
4050,0,1,86.2,.5914538,20.6,904,4423,6219,57.83323
4051,0,1,79,.5799927,14,552,2719,3202,73.03766
4052,0,1,88.1,.5510079,30.1,2348,14684,17014,44.67363
4053,0,1,79,.6181292,19.2,413,2074,2824,62.10075
4054,0,1,80.7,.5566193,19.7,3413,21203,20857,62.65526
4055,0,1,89.6,.5977723,19,643,3232,4683,53.85487
4056,0,1,78.3,.5306162,16.9,2838,15727,14654,58.40194
4057,0,1,86.3,.5695294,23.8,915,4739,7331,47.7607
4058,0,1,87.2,.5898126,27.5,1463,9659,11792,46.94405
4059,0,1,90.1,.5945489,21.7,865,4733,5696,50.70755
4060,0,1,86.8,.5015566,46.8,14443,113064,133348,28.47532
4061,0,1,85.5,.5669073,21.1,940,5403,7095,53.55946
4062,0,1,82.4,.5684389,19,2889,16533,15003,69.18958
4063,0,1,89.3,.5139899,25,2010,12652,17126,29.12153
4064,0,1,81.8,.5353671,17,595,2983,4372,60.25554
4065,0,1,77.1,.5913793,15.7,665,3480,4673,64.45129
4066,0,1,89.4,.5511122,40,4557,29582,37790,31.14722
4067,0,1,87.2,.5728631,26.5,749,4083,6081,43.14009
4068,0,1,92.3,.5873016,21.8,487,2457,3911,62.54052
4069,0,1,84.2,.5537483,16.6,510,2828,3521,67.59603
4070,0,1,90.2,.5422548,38.2,3414,22388,27435,36.6033
4071,0,1,85.5,.5603208,16.9,565,2868,4416,62.79004
4072,0,1,85.4,.5944272,39.1,3394,27132,29715,34.66954
4073,0,1,86.5,.5926228,24.1,2451,14721,18435,46.873
4074,0,1,84.3,.6272755,19.3,1228,6482,7025,66.27509
4075,0,1,85.7,.5920608,22.1,872,4736,7245,53.01746
5001,0,1,89.8,.5457706,51.7,49915,411050,521317,14.4108
5002,0,1,0,.28877,32.9,22,187,214,32.71276
5003,0,1,91.7,.7427675,45.9,1156,4459,5566,16.58463
5004,0,1,92.9,.6433364,45.3,5500,35176,47683,19.16839
5005,0,1,95.9,.5828236,39.8,615,4087,6347,15.03208
5006,0,1,95.1,.6118048,47.5,861,5286,6846,22.04592
5007,0,1,94,.6004762,55.3,27305,196564,216888,10.61357
5008,0,1,90.3,.5294524,38.6,1145,8692,9109,14.36999
5009,0,1,92.9,.5641125,48.1,1745,12907,17147,11.41381
5010,0,1,87.7,.5772765,40.8,25223,177719,191284,23.91341
5011,0,1,92.8,.5794634,44.7,1262,7752,9707,18.73716
5012,0,1,90.3,.549464,42.1,6690,51310,54664,12.83881
5013,0,1,86.8,.5176497,33.8,4720,36318,37461,26.17759
5014,0,1,97,.6011978,52.5,716,4842,7040,18.1551
5015,0,1,89.4,.573051,42,20509,144399,150368,21.3029
5016,0,1,90.1,.5962439,33.8,3894,24334,25578,30.86366
5017,0,1,88.6,.6125137,40.1,800,4555,9249,22.32625
5018,0,1,92.5,.5992385,42.4,906,6041,7742,13.99051
5019,0,1,90.3,.5431348,53.1,335202,2682741,3540396,13.01469
5020,0,1,86.3,.5888957,32.6,3303,19416,21042,29.6714
5021,0,1,95,.5413376,67.1,7869,67614,85061,8.651519
5022,0,1,85,.5122863,48.1,295,1872,3310,24.85561
5023,0,1,87.9,.5558147,41.4,3378,22718,28953,17.90432
5024,0,1,87.8,.5174524,39.2,6041,45925,44924,26.58184
5025,0,1,91,.5495398,50.5,536,3694,4706,14.06439
5026,0,1,0,.4771784,62.1,92,964,1398,8.844766
5027,0,1,74.6,.427295,49.4,11891,105873,98460,19.65803
5028,0,1,90.3,.5963899,44.6,3915,26149,40824,12.72245
5029,0,1,95.5,.615625,46.2,1446,8000,13095,17.73043
5030,0,1,90.4,.5420816,57.7,40366,351484,366985,10.40373
5031,0,1,94.1,.5986152,43.6,3558,24119,33860,14.81005
5032,0,1,93.6,.5876597,44.6,811,5008,6734,17.15406
5033,0,1,91.3,.5601425,49.4,18546,139261,169800,18.88567
5034,0,1,93.1,.5528889,55.8,28703,241705,271447,11.00673
5035,0,1,91.3,.5936562,34.4,1095,6999,8446,22.61546
5036,0,1,91.4,.5576494,48.4,30876,238320,271203,16.86885
5037,0,1,81.8,.472695,54.6,62303,522963,535922,14.76971
5038,0,1,90.3,.4914108,51,31978,287570,492121,15.50001
5039,0,1,85.6,.5595727,36.9,16015,113928,140311,19.48736
5040,0,1,90.8,.590074,46,5181,36631,46062,19.17532
5041,0,1,95,.5802462,61.9,25665,201399,252983,7.020627
5042,0,1,89,.5289943,55.9,9499,80033,93127,13.20701
5043,0,1,91.6,.5758885,56.2,37089,317209,336628,10.58081
5044,0,1,90.2,.5835666,43.1,4734,31083,53815,20.79815
5045,0,1,92.9,.5956697,46.8,4110,27804,32351,15.45531
5046,0,1,0,.5971302,46.8,143,906,1353,14.48335
5047,0,1,94.8,.5886495,44.3,2107,14202,19180,14.79019
5048,0,1,92.1,.4887503,49.1,7658,67335,70072,16.38098
5049,0,1,88.4,.5689551,43.9,9776,63128,85205,18.57595
5050,0,1,88.5,.5737553,36.5,11068,70978,87849,22.35674
5051,0,1,91.5,.5848662,44.7,2353,15766,17943,18.29186
5052,0,1,94.2,.5933143,46.3,1810,11547,14011,17.45938
5053,0,1,90.2,.5269719,40.9,626,4412,5385,11.12396
5054,0,1,85.3,.5702253,33.1,13215,80256,87971,28.36994
5055,0,1,96,.5924765,46.2,909,5742,8971,16.14149
5056,0,1,89,.5081236,47,11968,98417,105492,15.37834
5057,0,1,91.3,.5860455,47,3796,32047,34827,14.91845
5058,0,1,87.2,.5231333,40.6,2146,16902,17394,21.40629
6001,0,1,90.2,.4858666,55.1,6470,66792,55498,11.76715
6002,0,1,89.8,.6527832,45.7,691,5138,4809,29.90961
6003,0,1,91.6,.5375558,64.8,6816,58433,56701,9.566225
6004,0,1,0,.5012029,31.6,204,1247,1334,47.85611
6005,0,1,92.6,.5619863,33,448,2920,3433,30.696
6006,0,1,91.4,.6211604,40.4,482,3223,4253,28.97677
6007,0,1,94.5,.6610944,63.5,4034,38285,38062,15.12855
6008,0,1,75.9,.4994527,41.4,605,3654,4683,23.40875
6009,0,1,96,.6290323,42.2,226,1302,1444,20.29808
6010,0,1,0,.5808758,57.2,170,1119,1743,10.54482
6011,0,1,86.8,.6374595,29.3,707,4314,3763,52.98683
6012,0,1,71.7,.5984503,20.6,403,2194,1872,61.86673
6013,0,1,90.2,.5888009,29.2,299,1768,2185,37.81493
6014,0,1,0,.5,29.3,86,528,805,34.60639
6015,0,1,91.7,.6014109,38.7,1176,6237,9248,33.08337
6016,0,1,86,.5203316,53.4,25868,218674,286394,16.36505
6017,0,1,0,.4972973,36.6,127,1110,1082,19.1184
6018,0,1,98.8,.5556582,50.3,309,2165,2714,16.1595
6019,0,1,95.9,.5035273,40.7,306,2268,2324,31.9114
6020,0,1,95.3,.6327462,39.2,270,1533,2180,29.73326
6021,0,1,86.5,.5089411,61.1,8121,72586,73520,16.72442
6022,0,1,88.6,.4952314,35.6,1385,8493,12523,24.90177
6023,0,1,90.5,.564741,45.2,808,5020,6978,15.41251
6024,0,1,0,.6266667,62.9,35,225,466,12.7566
6025,0,1,92.5,.5619524,50.3,250,1598,2016,20.38328
6026,0,1,94.3,.6486486,56,299,3034,2552,24.453
6027,0,1,0,1.014493,79.7,6,69,137,6.944445
6028,0,1,93.7,.6464024,23.9,604,3405,4362,43.13356
6029,0,1,0,.5215827,47.5,121,834,964,12.13434
6030,0,1,91,.5739888,66,8508,62104,67753,8.574496
6031,0,1,0,.5756757,45.9,159,1110,1314,17.82297
6032,0,1,96.3,.5939728,41,510,3086,3833,21.30961
6033,0,1,86,.5018888,44.2,413,3706,3425,16.31571
6034,0,1,92.3,.5796484,52.7,1228,9385,9857,24.92181
6035,0,1,92.9,.6598027,52.8,3147,25447,28470,21.03693
6036,0,1,90.1,.642897,32.1,1647,8975,10728,40.72792
6037,0,1,96.5,.5588361,45.6,398,2337,3006,18.22358
6038,0,1,93.5,.5658774,48.7,1419,9882,10465,16.51254
6039,0,1,88.9,.5754651,50,3621,23110,27809,19.56777
6040,0,1,0,.7030303,45.4,29,165,253,16.74757
6041,0,1,93.2,.5378002,50.5,457,3373,3709,14.8668
6042,0,1,92.1,.5227894,41.2,1008,6955,7054,27.12221
6043,0,1,89.4,.5519734,39.1,1283,8716,9499,26.24133
6044,0,1,90.9,.5470136,42.2,1457,10146,10973,22.62252
6045,0,1,93.2,.6052515,41,1794,11273,12609,29.90612
6046,0,1,0,.5877193,46.4,143,684,923,25.33724
6047,0,1,0,.4151899,51.4,91,790,1118,16.01996
6048,0,1,95.4,.6260118,48.4,321,1853,2619,17.18686
6049,0,1,0,.508167,70.5,132,1102,1427,18.23181
6050,0,1,87.5,.6188661,41.3,1003,6297,6866,29.38374
6051,0,1,89.7,.5653835,38.4,7360,55488,63657,21.16995
6052,0,1,95.1,.568782,53.2,340,2537,2687,12.29587
6053,0,1,85.7,.5891719,43,914,5338,5527,38.72703
6054,0,1,95.4,.5877262,46.8,461,2542,3349,22.78524
6055,0,1,83.5,.5633803,34.8,363,2201,2154,47.97111
6056,0,1,0,.6722891,46.1,62,415,436,29.46745
6057,0,1,83.7,.4518113,40.3,180,1463,1480,19.39513
6058,0,1,93.1,.6431246,46,325,1869,2348,18.86033
6059,0,1,0,.4202483,43.3,113,1047,1054,10.2765
6060,0,1,0,.6372951,45.9,171,976,1513,21.12618
6061,0,1,93.6,.573939,37.5,476,3016,3625,19.93112
6062,0,1,90.9,.6011733,43.4,5042,35454,37106,24.84614
6063,0,1,94.6,.5828848,38,660,3716,5275,25.74084
7001,0,1,90.3,.5613757,47.5,39000,276836,389800,9.171024
7002,0,1,90.7,.5386035,44.2,40225,300089,403503,8.668344
7003,0,1,90.5,.561406,42.2,7661,50158,70753,10.0368
7004,0,1,89.8,.5389072,42.6,5261,38142,52487,9.02756
7005,0,1,88.3,.5556506,42.3,38763,285289,387709,9.909536
7006,0,1,85.6,.4989614,41.2,10488,86177,102891,12.02843
7007,0,1,82.9,.5749841,42.7,3954,34674,35298,8.949094
7008,0,1,83.9,.5252357,30.7,4270,29383,39977,13.25563
8001,0,1,80.9,.4099573,40,3307,33523,33151,24.27994
8002,0,1,87.1,.5091096,46.4,17714,140950,171550,12.86522
8003,0,1,85.9,.5066996,33.3,4916,33211,40820,27.63995
9001,0,1,89.5,.4755805,47.8,34343,334179,461133,22.17648
10001,0,1,84.8,.6337523,47.5,4722,41289,34147,34.33724
10002,0,1,84.7,.5109919,20.5,545,3730,3649,51.2548
10003,0,1,83.2,.4507928,43.9,4287,35757,32181,30.74916
10004,0,1,88.4,.5397313,26.8,952,6179,6355,42.00928
10005,0,1,87.2,.4465396,54.3,5803,56107,58555,17.64566
10006,0,1,89.4,.514303,49.6,17634,136894,203221,24.05504
10007,0,1,86.6,.6297787,20.4,689,3479,3741,57.23735
10008,0,1,84.6,.5040511,41.2,609,4073,8685,25.59416
10009,0,1,91.1,.6060258,32.2,560,3485,5700,44.91228
10010,0,1,80.5,.4565549,37.4,1204,9817,9730,35.83908
10011,0,1,76.3,.4604963,41.5,1058,7012,8822,30.94886
10012,0,1,87.7,.5673602,30.1,1548,9516,10390,46.03411
10013,0,1,88.6,.4964396,46.6,49110,395881,570731,22.27667
10014,0,1,78.4,.4923554,26.5,728,4513,7229,43.44384
10015,0,1,79.9,.5354839,21.2,332,2170,2240,48.14815
10016,0,1,85.4,.474939,41.4,27555,224193,237059,26.2502
10017,0,1,89.1,.4806299,40.4,11556,91378,83732,27.53234
10018,0,1,72.8,.4598433,28.8,274,2042,2440,46.23878
10019,0,1,81.3,.5407143,27.5,449,2800,3693,58.8943
10020,0,1,84,.5265054,21.9,2969,19430,22060,60.15988
10021,0,1,91.5,.5814649,22.9,252,1338,1543,54.48276
10022,0,1,0,.4411571,15.7,175,1521,1593,38.72893
10023,0,1,92,.5193903,32.8,749,5183,4796,34.70371
10024,0,1,89.7,.6168795,22.5,684,3602,3831,59.03072
10025,0,1,75.7,.4898208,27.2,945,5747,6685,43.96071
10026,0,1,78.9,.4589128,28.5,576,3955,4137,35.62414
10027,0,1,85.9,.4973522,29.7,692,4721,6378,43.96844
10028,0,1,90.6,.5301584,33.4,1310,8903,12364,35.32071
10029,0,1,85.2,.4870401,36.6,24287,179708,225790,27.95543
10030,0,1,87.8,.6251827,16.9,998,4789,5939,62.14177
10031,0,1,85.2,.5123416,43,1449,10493,14897,30.57062
10032,0,1,86.1,.5856198,26.3,3705,18442,17725,52.51459
10033,0,1,86.7,.550374,26.1,788,4546,4642,59.98593
10034,0,1,91.1,.5720824,23.7,245,1311,1587,39.09521
10035,0,1,84.8,.5092778,38.8,3624,23551,34519,38.40597
10036,0,1,82.4,.5125192,42.4,3107,22126,32847,30.45621
10037,0,1,88.7,.6231394,49.4,4476,40779,34769,31.72982
10038,0,1,90.6,.565534,24.1,794,4532,5662,52.0874
10039,0,1,80.9,.5554817,23.3,251,1505,1618,48.86935
10040,0,1,89.8,.6127076,23,1240,6925,6886,58.90479
10041,0,1,87.3,.5743701,37.6,3708,24331,45318,32.10122
10042,0,1,90.8,.5647165,33.6,3767,23263,28158,44.03659
10043,0,1,87.3,.5161438,40.3,905,6566,10430,28.2779
10044,0,1,72.5,.3426823,42.4,2294,25493,24421,24.95976
10045,0,1,90,.5274128,28.4,1292,8828,8300,37.41864
10046,0,1,86.6,.409531,54.4,3425,34603,27748,22.28835
10047,0,1,91.8,.5369928,27.2,660,3352,3064,31.40006
10048,0,1,87.4,.4739267,48.8,15050,124610,145314,23.01893
10049,0,1,88.9,.5267525,32.6,977,6990,12104,39.61162
10050,0,1,87.2,.5017261,45.8,12128,93565,139286,27.65751
10051,0,1,89.6,.5364583,27.8,2167,13824,23305,39.68065
10052,0,1,87.3,.5229358,43.9,16874,118374,262327,24.54194
10053,0,1,84.8,.5128785,35.2,12732,90577,107098,31.15786
10054,0,1,86,.5436321,33.6,2156,15115,16804,41.74154
10055,0,1,90.2,.5960988,40.3,2059,13278,16896,37.13752
10056,0,1,89.2,.5371199,36.9,2426,17430,22043,32.32462
10057,0,1,84.7,.4165857,37.6,1981,16460,13173,30.51543
10058,0,1,87.6,.5275652,47.6,3932,26918,51109,23.5596
10059,0,1,88,.4937991,43.6,3246,26367,28639,33.42122
10060,0,1,95.5,.5548967,27.4,883,5228,6450,52.28672
10061,0,1,88.3,.5898062,23.6,1269,6965,7964,51.76114
10062,0,1,84.2,.5378164,25.8,939,6439,6620,43.6123
10063,0,1,84.7,.3910467,19.9,390,3038,3569,42.27534
10064,0,1,89,.5730134,46.9,6464,45430,81309,29.91577
10065,0,1,91.7,.5915046,21.7,426,2519,2654,60.23081
10066,0,1,91.3,.6215051,24.3,1219,7189,8469,51.25796
10067,0,1,94,.6987043,21.9,1032,5171,5942,58.23049
11001,0,1,86.3,.6016544,19.2,1282,6891,6140,61.66511
11002,0,1,78.2,.5651359,16.8,590,3201,2819,68.26228
11003,0,1,87.4,.5578725,21.7,738,4268,4037,58.15068
11004,0,1,77.2,.5888744,15.4,423,2301,2083,74.05536
11005,0,1,74.6,.4643042,20,2031,13545,22123,40.46675
11006,0,1,84.4,.549461,16.5,556,3154,3458,43.5506
11007,0,1,78.8,.5008883,21.8,1015,6754,7906,40.52525
11008,0,1,82.7,.5027617,19.1,2237,13941,14742,40.35842
11009,0,1,88.9,.5821206,24.6,1128,6253,7360,50.52298
11010,0,1,79.7,.5253356,21.1,1030,5960,6056,55.39621
11011,0,1,86.2,.5121281,34.8,9181,69467,73829,31.8585
11012,0,1,87.5,.59194,20.2,773,4938,4739,48.47461
11013,0,1,86.1,.5903853,21.3,551,3037,2785,51.87983
11014,0,1,85.3,.6317023,22.8,1312,7255,7598,64.91758
11015,0,1,80.3,.5539386,20.5,504,3161,2873,59.32549
11016,0,1,88.1,.5985306,27.9,1974,12250,11753,53.25795
11017,0,1,83.3,.6331223,16.8,1839,10265,9378,70.03029
11018,0,1,79.7,.5822284,25.7,702,4299,4584,58.1553
11019,0,1,87.6,.5956148,21.2,617,3603,3514,73.48635
11020,0,1,87.2,.5154678,27.1,763,5269,4546,34.3996
11021,0,1,87.8,.599362,24,578,3135,3402,61.44472
11022,0,1,85.1,.540846,20.9,2675,17517,19074,38.8708
11023,0,1,85.7,.5001807,28.1,1495,11070,10610,25.59837
11024,0,1,81.4,.5071378,20.8,417,2802,2397,47.57814
11025,0,1,88.3,.5024676,39,12012,92599,97097,31.08258
11026,0,1,50.1,.2117293,57.4,766,9975,4164,22.37376
11027,0,1,78.6,.4867055,21.9,1486,9628,10696,36.79816
11028,0,1,80.2,.4917023,16.7,1720,11208,12122,39.9903
11029,0,1,84,.5957065,44,2555,24502,21915,35.01804
11030,0,1,87.8,.6596136,24,378,2174,2230,64.9025
11031,0,1,85.2,.480296,37.7,2695,25401,22338,18.5548
11032,0,1,79.9,.5141737,18.5,563,3316,3095,63.71553
11033,0,1,87.9,.4782314,41.9,7163,60454,57296,16.95365
11034,0,1,84.9,.554849,24.8,1882,11322,10376,55.13801
11035,0,1,84.7,.5498222,24.6,2886,17151,16966,47.43382
11036,0,1,69.7,.4350686,28.8,1045,7146,6153,46.55434
11037,0,1,74.2,.5125387,19.6,972,5822,5938,54.27484
11038,0,1,86.3,.5923964,25.3,2191,13967,14916,44.84414
11039,0,1,80.3,.5435005,15.9,487,2931,2657,64.60905
11040,0,1,84.7,.5673527,25,1431,8552,8986,55.86949
11041,0,1,84.6,.5421687,18.3,719,4648,4019,45.31809
11042,0,1,78.7,.5286416,14.5,310,1833,1821,62.1311
11043,0,1,82.5,.5438681,26.2,2021,12492,12334,53.10465
11044,0,1,88.9,.5049487,56.6,13531,129124,137174,14.10751
11045,0,1,87.9,.6077301,18.6,1510,8150,8309,50.90573
11046,0,1,86.6,.608743,22.2,1050,5513,5553,65.4229
11047,0,1,84.2,.4652801,40.1,4534,40870,35270,36.34142
11048,0,1,87.4,.5819691,17.9,1228,8552,8290,37.2528
11049,0,1,86.3,.61089,21.2,1260,6281,6383,71.5274
11050,0,1,0,.5168296,11,147,921,888,60.37167
